the_geom,points_id,location_name,input_address,match_address,latitude,longitude,major_basin_name,minor_basin_name,aquifer_name,pfaf_id,gid_1,gid_0,name_0,name_1,bau30_ba_x_l,bau50_ba_x_l,bau80_ba_x_l,opt30_ba_x_l,opt50_ba_x_l,opt80_ba_x_l,pes30_ba_x_l,pes50_ba_x_l,pes80_ba_x_l,bau30_ww_x_l,bau50_ww_x_l,bau80_ww_x_l,opt30_ww_x_l,opt50_ww_x_l,opt80_ww_x_l,pes30_ww_x_l,pes50_ww_x_l,pes80_ww_x_l,bau30_ws_x_l,bau50_ws_x_l,bau80_ws_x_l,opt30_ws_x_l,opt50_ws_x_l,opt80_ws_x_l,pes30_ws_x_l,pes50_ws_x_l,pes80_ws_x_l,bau30_wd_x_l,bau50_wd_x_l,bau80_wd_x_l,opt30_wd_x_l,opt50_wd_x_l,opt80_wd_x_l,pes30_wd_x_l,pes50_wd_x_l,pes80_wd_x_l,bau30_iv_x_l,bau50_iv_x_l,bau80_iv_x_l,opt30_iv_x_l,opt50_iv_x_l,opt80_iv_x_l,pes30_iv_x_l,pes50_iv_x_l,pes80_iv_x_l,bau30_sv_x_l,bau50_sv_x_l,bau80_sv_x_l,opt30_sv_x_l,opt50_sv_x_l,opt80_sv_x_l,pes30_sv_x_l,pes50_sv_x_l,pes80_sv_x_l,bau30_ba_x_r,bau50_ba_x_r,bau80_ba_x_r,opt30_ba_x_r,opt50_ba_x_r,opt80_ba_x_r,pes30_ba_x_r,pes50_ba_x_r,pes80_ba_x_r,bau30_ww_x_r,bau50_ww_x_r,bau80_ww_x_r,opt30_ww_x_r,opt50_ww_x_r,opt80_ww_x_r,pes30_ww_x_r,pes50_ww_x_r,pes80_ww_x_r,bau30_ws_x_r,bau50_ws_x_r,bau80_ws_x_r,opt30_ws_x_r,opt50_ws_x_r,opt80_ws_x_r,pes30_ws_x_r,pes50_ws_x_r,pes80_ws_x_r,bau30_wd_x_r,bau50_wd_x_r,bau80_wd_x_r,opt30_wd_x_r,opt50_wd_x_r,opt80_wd_x_r,pes30_wd_x_r,pes50_wd_x_r,pes80_wd_x_r,bau30_iv_x_r,bau50_iv_x_r,bau80_iv_x_r,opt30_iv_x_r,opt50_iv_x_r,opt80_iv_x_r,pes30_iv_x_r,pes50_iv_x_r,pes80_iv_x_r,bau30_sv_x_r,bau50_sv_x_r,bau80_sv_x_r,opt30_sv_x_r,opt50_sv_x_r,opt80_sv_x_r,pes30_sv_x_r,pes50_sv_x_r,pes80_sv_x_r
0101000020E6100000637FD93D795059C0BE9F1A2FDD043540,11,Guanajuato,_,-,21.019,-101.2574,Río Lerma,Lerma / Salamanca,,771470,MEX.11_1,MEX,Mexico,Guanajuato,30-100 cm,30-100 cm,10-30 cm,30-100 cm,30-100 cm,10-30 cm,30-100 cm,30-100 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),35.41337945,34.16391582,26.08952398,36.43665627,38.86673394,29.79479913,32.79868705,34.81347972,29.66106748,15.61446611,18.05185067,21.67144964,15.16076745,15.81398235,15.94420273,15.61601949,15.9709269,17.03523717,2.247538747,2.576287547,4.016867603,2.228179713,2.105890104,2.730421908,2.437053764,2.68926694,3.201837761,1.081935327,1.180888323,1.730406305,1.076808941,0.976676291,1.331782235,1.146133596,1.264441432,1.446444669,0.437502422,0.410357421,0.444368683,0.405066697,0.41370909,0.457767861,0.434449773,0.456117969,0.516857071,0.759843993,0.796793013,0.819133785,0.785175395,0.774776277,0.773570588,0.792326698,0.803631664,0.799015849
0101000020E61000006666666666EA58C06891ED7C3F053240,12,Guerrero,_,-,18.0205,-99.6625,Río Balsas,Balsas / Mezcala,,771250,MEX.12_1,MEX,Mexico,Guerrero,30-100 cm,100-300 cm,30-100 cm,100-300 cm,100-300 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,3-10 cm,3-10 cm,3-10 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,3-10 cm,3-10 cm,Low-medium (10-20%),Medium-high (20-40%),High (40-80%),Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),Medium-high (20-40%),Low - Medium (5-25%),Low - Medium (5-25%),Medium - High (25-50%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),99.77751072,100.1272952,74.9751246,104.2021235,101.8230961,87.54626257,99.5290761,94.59991175,83.19579624,3.583239361,6.631179484,8.286797001,2.560216315,2.865078941,2.986711598,2.949037151,4.190769185,4.913664858,0.166685492,0.382706707,0.637010346,0.099010253,0.10336366,0.14815749,0.129483759,0.235242554,0.343954463,0.087284906,0.202790581,0.321396058,0.05058434,0.052057544,0.076189138,0.065355939,0.123874078,0.183779515,0.360538974,0.347653565,0.441339238,0.317910112,0.369437037,0.364406316,0.363548338,0.387853532,0.420869393,0.727116832,0.728544704,0.743761964,0.717591497,0.723054717,0.737882567,0.719298509,0.72461712,0.75152311
0101000020E61000001B9E5E29CBB058C065AA605452173440,13,Hidalgo,_,-,20.0911,-98.7624,Río Verde,Moctezuma,,753240,MEX.13_1,MEX,Mexico,Hidalgo,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,>30 cm,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Extremely High (>75%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),5.511540598,5.19259688,3.84240321,5.539757897,8.295129995,5.173573486,5.903193044,5.104127854,4.700728967,46.40348429,61.62918239,85.32732393,43.5963476,47.39498177,45.83286864,43.57722627,46.99301621,45.4754044,10.63530511,16.50745182,13.8535558,9.463554979,9.097571477,10.160829,10.99406969,10.69580682,10.48565297,4.070179303,7.324602696,7.279351406,3.421409577,3.578283825,4.211035029,3.954193167,4.024968295,4.353364742,0.539565314,0.50541773,0.468144311,0.486117932,0.474702118,0.546376904,0.538676108,0.557233571,0.567740432,0.723743702,0.777604754,0.851548953,0.685881269,0.711231592,0.72681176,0.712244011,0.723882931,0.744699036
0101000020E61000009FABADD85FD659C0D42B6519E2A83440,14,Jalisco,_,-,20.6597,-103.3496,Río Lerma,Santiago Guadalajara,,771450,MEX.14_1,MEX,Mexico,Jalisco,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,3-10 cm,3-10 cm,10-30 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,High (40-80%),High (40-80%),Extremely high (>80%),High (40-80%),High (40-80%),Extremely high (>80%),High (40-80%),High (40-80%),Extremely high (>80%),Medium - High (25-50%),Medium - High (25-50%),High (50-75%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),80.63481109,77.37139022,60.08805517,81.53564259,97.72333326,67.51075615,72.02021347,77.89536496,65.55155731,6.773946439,8.89485465,11.31438405,6.619272872,7.643597168,7.595812779,6.551704082,7.478476095,7.670395295,0.576014523,0.754283415,1.040899325,0.573243553,0.600341931,0.835460892,0.5546401,0.703345833,0.806514488,0.270804939,0.367697274,0.512020981,0.27026586,0.303064857,0.417451639,0.258708907,0.337619171,0.403069579,0.480016295,0.477409688,0.525969934,0.470923705,0.463061357,0.516570241,0.490667962,0.510402873,0.570406434,0.905234844,0.924908928,0.947001105,0.902227594,0.903590818,0.895752982,0.909822741,0.914391708,0.919153087
0101000020E61000002EFF21FDF6E958C07FD93D7958483340,15,Estado de México,_,-,19.2826,-99.6557,Río Lerma,Lerma / Toluca,,771490,MEX.15_1,MEX,Mexico,México,30-100 cm,30-100 cm,10-30 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,High (40-80%),Extremely high (>80%),Extremely high (>80%),High (40-80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Medium - High (25-50%),Medium - High (25-50%),Extremely High (>75%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Medium - High (0.66-1.00),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),37.23519398,34.94823019,26.52296186,37.21452867,41.69140482,32.35631494,33.56894917,35.08164587,30.16808818,13.24972686,15.79487498,20.2229571,12.79077631,13.4154426,13.30881363,12.93754336,13.60552095,14.51841887,0.790035273,0.964438923,1.755179122,0.789268829,0.800722624,0.943392239,0.884939458,0.94358614,1.125231793,0.360571898,0.444032718,0.800805003,0.353883811,0.35396738,0.445326247,0.38010513,0.423844346,0.489252034,0.406969049,0.386130299,0.468660961,0.365614847,0.362480058,0.403535786,0.408601046,0.404913553,0.474436702,0.576976494,0.609674362,0.690370546,0.594303264,0.577437456,0.578192276,0.580161036,0.601959057,0.592200272
0101000020E6100000053411363C6D59C01B2FDD2406913340,16,Michoacán,_,-,19.5665,-101.7068,Río Balsas,Lago de Patzcuaro / Cuitzeo / Lago de Yuriria,,771490,MEX.16_1,MEX,Mexico,Michoacán,30-100 cm,30-100 cm,10-30 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,High (40-80%),Extremely high (>80%),Extremely high (>80%),High (40-80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Medium - High (25-50%),Medium - High (25-50%),Extremely High (>75%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Medium - High (0.66-1.00),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),37.23519398,34.94823019,26.52296186,37.21452867,41.69140482,32.35631494,33.56894917,35.08164587,30.16808818,13.24972686,15.79487498,20.2229571,12.79077631,13.4154426,13.30881363,12.93754336,13.60552095,14.51841887,0.790035273,0.964438923,1.755179122,0.789268829,0.800722624,0.943392239,0.884939458,0.94358614,1.125231793,0.360571898,0.444032718,0.800805003,0.353883811,0.35396738,0.445326247,0.38010513,0.423844346,0.489252034,0.406969049,0.386130299,0.468660961,0.365614847,0.362480058,0.403535786,0.408601046,0.404913553,0.474436702,0.576976494,0.609674362,0.690370546,0.594303264,0.577437456,0.578192276,0.580161036,0.601959057,0.592200272
0101000020E61000006DC5FEB27BC658C0CAC342AD69AE3240,17,Morelos,_,-,18.6813,-99.1013,Río Balsas,Grande de Amacuzac,,771260,MEX.17_1,MEX,Mexico,Morelos,30-100 cm,10-30 cm,10-30 cm,30-100 cm,30-100 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),High (50-75%),Extremely High (>75%),Extremely High (>75%),High (50-75%),High (50-75%),Extremely High (>75%),High (50-75%),High (50-75%),Extremely High (>75%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),30.46173909,29.11244184,22.97878403,30.92042546,31.41839779,26.52450588,29.40929793,28.98927537,24.62566986,10.8861954,13.08613516,17.15821706,10.35589279,10.83080997,10.90421136,10.37291518,11.21162809,11.4346204,1.2972921,1.660653633,2.677036519,1.262620568,1.28905227,1.588022529,1.289278845,1.506184763,1.90570359,0.636778896,0.808364886,1.357733474,0.585495312,0.620181573,0.774662205,0.620643966,0.713245112,0.903099652,0.413391519,0.413258334,0.455388913,0.384805434,0.400682431,0.407555164,0.400209692,0.444630751,0.474236852,0.845581154,0.848770965,0.858935578,0.830267597,0.830856241,0.830622053,0.821635584,0.829117965,0.812712758
0101000020E6100000273108AC1C365AC0E3361AC05BC03540,18,Nayarit,_,-,21.7514,-104.8455,Río Lerma,Santiago / Aguamilpa,,771410,MEX.18_1,MEX,Mexico,Nayarit,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,>1000 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low (<10%),Low (<10%),Low-medium (10-20%),Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low (<5%),Low - Medium (5-25%),Low - Medium (5-25%),Low (<5%),Low - Medium (5-25%),Low - Medium (5-25%),Low (<5%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),2148.088621,2072.0732,1606.98136,2267.444115,2611.10605,1855.515603,2234.461947,2124.952759,1603.245455,11.64340575,17.87671406,21.44145624,10.14240856,13.04628467,13.34942278,11.18085354,14.59908681,14.54780623,0.075756793,0.15971797,0.165043322,0.065261841,0.095919512,0.10668032,0.063795959,0.102895872,0.12685155,0.046333303,0.089177243,0.092738801,0.038925965,0.056565221,0.060921188,0.039437981,0.060163456,0.071546706,0.408835079,0.398405326,0.463600688,0.393647606,0.395746051,0.423695389,0.424582556,0.419620555,0.471970523,0.753947149,0.779660201,0.74805008,0.770552738,0.766869815,0.732488374,0.756056508,0.760149674,0.768692847
0101000020E610000000917EFB3A1459C0006F8104C5AF3940,19,Nuevo León,_,-,25.6866,-100.3161,Río Grande - Bravo,Bravo / San Juan,,752123,MEX.19_1,MEX,Mexico,Nuevo León,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,3-10 cm,10-30 cm,10-30 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,3-10 cm,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Low - Medium (5-25%),Medium - High (25-50%),Medium - High (25-50%),Medium - High (25-50%),Low - Medium (5-25%),Medium - High (25-50%),Low - Medium (5-25%),Low - Medium (5-25%),Low - Medium (5-25%),High (0.75-1.00),High (0.75-1.00),High (0.75-1.00),High (0.75-1.00),Extremely High (>1.00),High (0.75-1.00),High (0.75-1.00),High (0.75-1.00),High (0.75-1.00),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),23.42041936,20.38956109,24.8805406,18.46626909,26.9122575,17.71439868,19.8587048,20.42544108,20.75289657,7.885529866,10.02059173,12.92448804,7.6142535,8.144794234,7.897784933,7.72194629,8.256084671,7.99277394,0.472984512,0.707386811,0.772024488,0.659176437,0.496430189,0.616848555,0.589611292,0.546293997,0.573665892,0.19461274,0.304521212,0.368443775,0.263691688,0.210358753,0.256811131,0.234389485,0.21482763,0.238038473,0.82398438,0.847103951,0.861297383,0.992915851,1.078743568,0.801251669,0.781906565,0.781666681,0.871730645,0.537051859,0.549494274,0.557395151,0.519692281,0.54948099,0.5160667,0.520455837,0.540748358,0.633410237
0101000020E61000008351499D802E58C03411363CBD123140,20,Oaxaca,_,-,17.0732,-96.7266,Isthmus of Tehuantepec,Atoyac B,,771180,MEX.20_1,MEX,Mexico,Oaxaca,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,1-3 cm,3-10 cm,3-10 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,Low (<10%),Low (<10%),Low-medium (10-20%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low (<5%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),79.58235176,74.6363758,67.84760409,82.71529842,85.80360286,72.35863738,78.45480103,75.00078793,70.70840674,2.719226384,3.275828381,4.278247638,2.568334606,2.752456466,2.670997332,2.572899639,2.7726814,2.775927286,0.079607357,0.088754807,0.117171979,0.070347234,0.069354607,0.083148767,0.071738156,0.082265891,0.08885348,0.036574102,0.041309328,0.057769596,0.032123933,0.03216808,0.038742714,0.033458949,0.037257652,0.041143118,0.325431163,0.400265476,0.39936162,0.32307198,0.327187871,0.343424712,0.364040928,0.386799373,0.402139112,0.576667229,0.582480463,0.590180557,0.58051351,0.5753845,0.578316105,0.579316981,0.573836718,0.604100233
0101000020E61000008C4AEA04348D58C0ED0DBE30990A3340,21,Puebla,_,-,19.0414,-98.2063,Río Balsas,Atoyac A,,771290,MEX.21_1,MEX,Mexico,Puebla,30-100 cm,30-100 cm,10-30 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,30-100 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,High (40-80%),High (40-80%),Extremely high (>80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Extremely high (>80%),Medium - High (25-50%),Medium - High (25-50%),High (50-75%),Low - Medium (5-25%),Low - Medium (5-25%),Medium - High (25-50%),Low - Medium (5-25%),Medium - High (25-50%),Medium - High (25-50%),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Low - Medium (0.25-0.50),Medium - High (0.50-0.75),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Medium - High (0.66-1.00),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),43.12873742,43.04256626,29.05650773,43.30397449,46.88453249,37.05296537,45.73346032,37.13642021,34.53949189,13.72262836,16.76518717,22.22334148,12.9591467,13.76648348,13.67716806,13.16269379,14.04609428,14.65709924,0.602397567,0.711299838,1.446173056,0.571208127,0.551218736,0.68980781,0.571363367,0.766912851,0.825361855,0.254742588,0.29162972,0.651593357,0.231487146,0.222503716,0.298518056,0.240791079,0.305468595,0.329781937,0.422626115,0.453017505,0.514387326,0.418516703,0.463276577,0.44886509,0.441571896,0.468536763,0.52482738,0.613105705,0.629344703,0.693553953,0.596597516,0.608571624,0.614799155,0.5990158,0.608354716,0.662076904
0101000020E6100000772D211FF41859C082E2C798BB963440,22,Querétaro,_,-,20.5888,-100.3899,Río Lerma,Laja,,771480,MEX.22_1,MEX,Mexico,Querétaro,30-100 cm,10-30 cm,10-30 cm,30-100 cm,30-100 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),High (50-75%),High (50-75%),Extremely High (>75%),High (50-75%),High (50-75%),High (50-75%),High (50-75%),High (50-75%),High (50-75%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),Medium - High (0.66-1.00),30.02761309,27.52522824,20.90667007,30.9753832,37.68883399,25.11149224,26.78520259,29.06748848,24.40391872,12.42288203,14.62439012,18.52773295,12.12047817,12.5320249,12.57401037,12.47591783,12.95714329,13.83066832,1.375463934,1.639427937,2.585842911,1.261070594,1.23990133,1.560454903,1.583405282,1.555314514,1.853880851,0.566161925,0.692388571,1.149018193,0.515364688,0.527861965,0.682346848,0.637176608,0.659606116,0.749863131,0.57373295,0.543455864,0.620367308,0.54146277,0.501070573,0.570948032,0.579386245,0.581632383,0.675099707,0.696398597,0.754601618,0.784487558,0.713961555,0.70410924,0.707815005,0.709210134,0.736648445,0.737474607
0101000020E6100000DFE00B93A91E56C0E6AE25E4832E3340,23,Quintana Roo,_,-,19.1817,-88.4791,Yucatán Peninsula,Cerradas,,753715,MEX.23_1,MEX,Mexico,Quintana Roo,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,10-30 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,1-3 cm,Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),Low-medium (10-20%),Low (<10%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Medium-high (20-40%),Low (<5%),Low - Medium (5-25%),Low - Medium (5-25%),Low (<5%),Low (<5%),Low - Medium (5-25%),Low (<5%),Low (<5%),Low - Medium (5-25%),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),High (0.75-1.00),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Medium - High (0.50-0.75),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),Low - Medium (0.33-0.66),22.90946082,23.44853268,12.53588825,19.88083432,24.37604046,18.97165767,21.57508622,21.63767826,13.45718342,1.463335022,1.851408702,2.466179082,1.408959048,1.499856324,1.492519306,1.398070855,1.498559117,1.604142164,0.101418456,0.1239442,0.288224677,0.11011323,0.096486114,0.130835645,0.112723228,0.108427215,0.209983903,0.042874993,0.054551572,0.139689225,0.046253133,0.041662279,0.058458514,0.047054895,0.045665323,0.088696029,0.732582094,0.63047291,0.675223846,0.608682023,0.750937755,0.649010827,0.665477455,0.644603887,0.623263589,0.486510607,0.479560832,0.525158927,0.50882531,0.492324646,0.482508416,0.474114308,0.436593158,0.564046542
